"drug","gene"
"CORODAY MR","C2"
"HYPOLAR XL 30","C2"
"ADIPINE MR 10","C2"
"NULOJIX","C2"
"Afeditab Cr","C2"
"GENALAT 20 RET","C2"
"TCV-116","C2"
"BAY-A-1040","C2"
"NORVAS","C2"
"Hypolar Ret 20","C2"
"Midamor","C2"
"BMS-224818","C2"
"Valni 20 Ret","C2"
"BAY A 1040","C2"
"Lexxel","C2"
"CARDILATE MR","C2"
"Vasotec","C2"
"ISTIN","C2"
"CCX-140","C2"
"HUMIRA","C2"
"LU-200134","C2"
"FORXIGA","C2"
"GSK-AHAB","C2"
"PS-433540","C2"
"ADALIMUMAB","C2"
"Losmapimod","C2"
"PAMREVLUMAB","C2"
"RE-021","C2"
"Avapro","C2"
"BMS-512148-05","C2"
"Sparsentan","C2"
"GW-856553","C2"
"Ifirmasta","C2"
"Aprovel","C2"
"BMS-512148","C2"
"SABERVEL","C2"
"D2E7","C2"
"CCX140-B","C2"
"FG-3019","C2"
"SR 47436","C2"
"GW856553X","C2"
"Karvea","C2"
"BMS-186295","C2"
"Seocalcitol","C2"
"Virazole","C2"
"SCHERIPROCT","C2"
"SOMATULINE AUTOGEL","C2"
"BACLOSPAS-10","C2"
"Viramid","C2"
"FGF-401","C2"
"Baclofen","C2"
"TRIANISESTROL","C2"
"RO 10-6338","C2"
"PEGASYS","C2"
"RibaPak","C2"
"Actemra","C2"
"ROACTEMRA","C2"
"CHLORTRIANISESTROL","C2"
"Idamycin","C2"
"Virazid","C2"
"Tribavirin","C2"
"Precortisyl","C2"
"PRECORTISYL FTE","C2"
"Neo-Delta-Cortef","C2"
"Burinex","C2"
"Sterane","C2"
"Lyflex","C2"
"PEVANTI","C2"
"Kemstro","C2"
"Delta-Cortef","C2"
"Chlorotrianisene","C2"
"RG-1569","C2"
"MK-0431","C2"
"Cortalone","C2"
"Ro-258310000","C2"
"Meti-Derm","C2"
"PHA-848125","C2"
"CS-2164","C2"
"RO 25-8310/000","C2"
"FERNISOLONE-P","C2"
"REBETOL","C2"
"ACTEMRA ROACTEMRA","C2"
"RHPM-1","C2"
"MRA","C2"
"LIORESAL","C2"
"DELTALONE","C2"
"EB-1089","C2"
"NAMODENOSON","C2"
"Deltacortril","C2"
"Somatuline LA","C2"
"Idarubicin","C2"
"ATLIZUMAB","C2"
"BA-34647","C2"
"RIBAVARIN","C2"
"INK-128","C2"
"ASCRINVACUMAB","C2"
"Bumetanide","C2"
"Meticortelone","C2"
"LIORESAL INTRATH","C2"
"Dekotil","C2"
"Ribavirin","C2"
"Dusigitumab","C2"
"Januvia","C2"
"CB-1089","C2"
"Chloro-IB-MECA","C2"
"Hydeltra","C2"
"MEDI-573","C2"
"Dilacort","C2"
"PF-03446962","C2"
"Desowen","C2"
"COPEGUS","C2"
"Gablofen","C2"
"CF-102","C2"
"Prelone","C2"
"BETINEX","C2"
"BUMEX","C2"
"RIBASPHERE","C2"
"Meclizine","C2"
"PIDILIZUMAB","C2"
"R-1569","C2"
"Pred-G","C2"
"Poly-Pred","C2"
"Peginterferon alfa-2a","C2"
"TACE","C2"
"Lixil","C2"
"Tridesilon","C2"
"MECLOZINE","C2"
"Ribofluranosyl Carboxamide","C2"
"Verdeso","C2"
"Hydeltra-Tba","C2"
"CT-011","C2"
"Milciclib","C2"
"BA-34,647","C2"
"CI-IB-MECA","C2"
"DEXAMPHETAMINE","C2"
"d-Amphetamine","C2"
"Atrasentan","C2"
"Dextroamphetamine","C2"
"Mitoxantrone HCl","C2"
"Dextroamphetamine resin complex","C2"
"Diamox","C2"
"Lobradimil","C2"
"Labradimil","C2"
"Dextrostat","C2"
"Muromonab-cd3","C2"
"Ferndex","C2"
"Novantrone","C2"
"Entinostat","C2"
"Cintredekin Besudotox","C2"
"IL13-PE38","C2"
"A-127722","C2"
"Diamox SR","C2"
"Dexampex","C2"
"LOXO-101","C2"
"Dexedrine","C2"
"ORTHOCLONE OKT3","C2"
"RMP-7","C2"
"OKT-3","C2"
"Dexamfetamine","C2"
"Eytazox","C2"
"MS-275","C2"
"MITOXANTRONE HYDROCHLORIDE","C2"
"SNDX-275","C2"
"MA-1","C2"
"TPI (FREEBASE)","C2"
"TIPIRACIL","C2"
"DA-8159","C2"
"Lipofen","C2"
"Bezalip","C2"
"MBX-8025","C2"
"MITIGARE","C2"
"LIPANTIL MICRO 200","C2"
"FENOGAL","C2"
"ABATACEPT","C2"
"Bezagen XL","C2"
"Cholurso","C2"
"FENOFIBRATE (MICRONIZED)","C2"
"Ursofalk","C2"
"URSOGAL","C2"
"BMS-188667","C2"
"Lipantil Micro 267","C2"
"Obeticholic acid","C2"
"TRICOR","C2"
"Urso","C2"
"DESTOLIT","C2"
"COLCRYS","C2"
"TT-20","C2"
"Ustekinumab","C2"
"LIPIDIL","C2"
"ORENCIA","C2"
"URSODIOL","C2"
"CNTO-1275","C2"
"Supralip 160","C2"
"Bezalip-Mono","C2"
"MOEXIPRIL","C2"
"INCB-28050","C2"
"Triglide","C2"
"Fenoglide","C2"
"URSODESOXYCHOLIC ACID","C2"
"ANTARA (MICRONIZED)","C2"
"URSO 250","C2"
"Zimbacol XL","C2"
"LIPAROL XL","C2"
"OCALIVA","C2"
"STELERA","C2"
"APD334","C2"
"URDOX","C2"
"LY-3009104","C2"
"URSO FORTE","C2"
"CTLA4-IGG4M","C2"
"Lipantil Micro 67","C2"
"Ursodeoxycholic Acid","C2"
"Univasc","C2"
"STELARA","C2"
"DSP-1747","C2"
"RG-2077","C2"
"BM 15.075","C2"
"Actigall","C2"
"INCB-028050","C2"
"INT-747","C2"
"Lipantil","C2"
"ETRASIMOD","C2"
"Uniretic","C2"
"Seladelpar","C2"
"FIBRAZATE XL","C2"
"NI-0801","C2"
"RWJ-800025","C2"
"Antara","C2"
"ORENCIA CLICKJECT","C2"
"RG-1046","C2"
"VEDOLIZUMAB","C2"
"CNTO-136","C2"
"Alefacept","C2"
"INTERLEUKIN-1 TRAP","C2"
"IXEKIZUMAB","C2"
"SAND-26","C2"
"Arcalyst","C2"
"Daclizumab","C2"
"IMNOVID","C2"
"LY-2439821","C2"
"Otezla","C2"
"SECUKINUMAB","C2"
"Tysabri","C2"
"ALEMTUZUMAB","C2"
"Zinbryta","C2"
"CLLB8","C2"
"Benlysta","C2"
"J695","C2"
"Soliris","C2"
"BT 5/9","C2"
"LDP-02","C2"
"Campath","C2"
"BG9273","C2"
"ECULIZUMAB","C2"
"Campath mabcampath","C2"
"Ilaris","C2"
"SYLVANT","C2"
"RO-24-7375","C2"
"LFA3TIP","C2"
"LDP-03","C2"
"Taltz","C2"
"NATALIZUMAB","C2"
"BSF-415977","C2"
"Campath MabCampath, Lemtrada","C2"
"H5G1.1VHC+H5G1.1VLC","C2"
"ACZ-885","C2"
"Anti-Cd11A","C2"
"CP-690550","C2"
"REGN-88","C2"
"BELIMUMAB","C2"
"RILONACEPT","C2"
"IL-1 TRAP","C2"
"ENTYVIO","C2"
"Tremfya","C2"
"Zenapax","C2"
"Siliq","C2"
"AN100226m","C2"
"A-796874.0","C2"
"Antegran","C2"
"CP-690","C2"
"TERIFLUNOMIDE","C2"
"LYMPHOSTAT-B BENLYSTA","C2"
"TASOCITINIB","C2"
"BEGELOMAB","C2"
"OZESPA","C2"
"Lemtrada","C2"
"Campath-1H","C2"
"BG9712","C2"
"HMR1726","C2"
"IMID-3","C2"
"Mabcampath","C2"
"POMALYST","C2"
"LU-415977","C2"
"MLN-0002","C2"
"Brodalumab","C2"
"SIRUKUMAB","C2"
"RAPTIVA","C2"
"Begedina","C2"
"Briakinumab","C2"
"WAY-165772","C2"
"AIN-457","C2"
"hu1124","C2"
"AUBAGIO","C2"
"CNTO 1959","C2"
"MLN-02","C2"
"CANAKINUMAB","C2"
"LymphoStat-B","C2"
"CNTO-328","C2"
"h5G1.1","C2"
"AMEVIVE","C2"
"AMG-827","C2"
"5G1.1","C2"
"SAR-153191","C2"
"Guselkumab","C2"
"Efalizumab","C2"
"CC-10004","C2"
"CC-4047","C2"
"Kevzara","C2"
"550","C2"
"ABT-874","C2"
"AMPLIGEN","C2"
"Oxybate","C2"
"Rintatolimod","C2"
"Xyrem","C2"
"PD-81565","C2"
"CAT-8015","C2"
"Nipent","C2"
"PENTOSTATIN","C2"
"BL22","C2"
"HA22","C2"
"CAT-3888","C2"
"LMB-2","C2"
"MOXETUMOMAB PASUDOTOX","C2"
"CI-825","C2"
"Valstar","C2"
"OPORTUZUMAB MONATOX","C2"
"Slo-Bid","C2"
"Elixicon","C2"
"Sustaire","C2"
"Lasma","C2"
"PRO-VENT","C2"
"Respbid","C2"
"CYKLO-F HEAVY PERIOD RELIEF","C2"
"Exacyl","C2"
"UNI-DUR","C2"
"CL-65336","C2"
"Nuelin SA-250","C2"
"Valrubicin","C2"
"T-PHYL","C2"
"Aerolate","C2"
"THEOPHYL-225","C2"
"Tranexamic Acid","C2"
"Lysteda","C2"
"THEOCLEAR L.A.-130","C2"
"Theolair-Sr","C2"
"Proxinium","C2"
"HYDROMEDIN","C2"
"THEOCLEAR L.A.-260","C2"
"Nuelin","C2"
"EDECRIN","C2"
"THEOPHYL-SR","C2"
"THEOCLEAR-80","C2"
"DURAPHYL","C2"
"ELIXOPHYLLIN SR","C2"
"QUIBRON-T","C2"
"REOMAX","C2"
"THEOLAIR","C2"
"Theobid Jr.","C2"
"Accurbron","C2"
"Theochron","C2"
"VB4-845","C2"
"Labid","C2"
"VICINIUM","C2"
"Dimethylxanthine","C2"
"Quibron-T/Sr","C2"
"Aerolate Iii","C2"
"THEOBID","C2"
"THEOLIXIR","C2"
"Theovent","C2"
"THEOPHYL","C2"
"AD-32","C2"
"Uniphyl","C2"
"Theograd","C2"
"Theo-Dur","C2"
"Somophyllin-T","C2"
"Aerolate Sr","C2"
"SOMOPHYLLIN-CRT","C2"
"Bronkodyl","C2"
"Nuelin SA","C2"
"Lanophyllin","C2"
"ALVIMOPAN","C2"
"Quibron","C2"
"ENTEREG","C2"
"Slo-Phyllin","C2"
"CYKLOKAPRON","C2"
"Theocin","C2"
"THEOCLEAR-200","C2"
"Trans Amcha","C2"
"THEOPHYLLINE-SR","C2"
"Elixomin","C2"
"Ethacrynic acid","C2"
"Uniphyllin Continus","C2"
"Theoclear-100","C2"
"ELIXOPHYLLIN","C2"
"ADL 8-2698","C2"
"AQUAPHYLLIN","C2"
"MK-595","C2"
"AEROLATE JR","C2"
"ETACRYNIC ACID","C2"
"Theo-24","C2"
"Menstralite","C2"
"Valstar preservative free","C2"
"Proxinium, Vicinium","C2"
"Attia","C2"
"Demcizumab","C2"
"Demser","C2"
"BVD-523","C2"
"TRALOKINUMAB","C2"
"CHR-2797","C2"
"Cerebrovase 25","C2"
"Bardoxolone Methyl","C2"
"Phenytex","C2"
"LANDOGROZUMAB","C2"
"L-588357-0","C2"
"Metirosine","C2"
"MODAPLATE","C2"
"AB-0024","C2"
"GS-6624","C2"
"RA-8","C2"
"Saridegib","C2"
"AMATUXIMAB","C2"
"Dilantin-125","C2"
"Simtuzumab","C2"
"Pyridantin","C2"
"LY-2090314","C2"
"Denileukin diftitox","C2"
"LY-2495655","C2"
"RTA-402","C2"
"Tosedostat","C2"
"Patidegib","C2"
"APRICOXIB","C2"
"90HY-PAM4","C2"
"DILANTIN-30","C2"
"OMP-59R5","C2"
"YTTRIUM Y 90 CLIVATUZUMAB TETRAXETAN","C2"
"ONTAK","C2"
"TAREXTUMAB","C2"
"Persantine","C2"
"Ensituximab","C2"
"Dilabid","C2"
"CS-706","C2"
"HPAM4-CIDE","C2"
"Urelumab","C2"
"PLERIXAFOR","C2"
"Iv Persantine","C2"
"DIPYRIDAMOLE","C2"
"Persantin Ret","C2"
"Metyrosine","C2"
"AMD3100","C2"
"Ulixertinib","C2"
"Vasyrol","C2"
"MORAB-009","C2"
"NSC 713200","C2"
"OFCRAM PR","C2"
"YTTRIUM (90Y) CLIVATUZUMAB TETRAXETAN","C2"
"CAT-354","C2"
"Phentytoin","C2"
"Dilantin","C2"
"Mozobil","C2"
"Bethanechol","C2"
"PF-04554878","C2"
"VRT-752271","C2"
"CEREBROVASE 100","C2"
"VS-4718","C2"
"VS-6063","C2"
"IMC-CS4","C2"
"TG01","C2"
"Hydantol","C2"
"DAB389 IL2","C2"
"MK-781","C2"
"Phenytek","C2"
"NPC-1C","C2"
"Persantin","C2"
"DEFACTINIB","C2"
"HPAM4-DOTA","C2"
"CDDO-Me","C2"
"DIPHENYLHYDANTOIN","C2"
"OMP-21M18","C2"
"BMS-663513","C2"
"R-109339","C2"
"HPAM-DOTA HY-PAM4","C2"
"IPI-926","C2"
"Prostin VR","C2"
"REMIDERM","C2"
"Adcortyl In Orabase","C2"
"TRIAMCINOLONE ACETONIDE IN ABSORBASE","C2"
"Synalar-C","C2"
"NASACORT","C2"
"Tri-Adcortyl","C2"
"Silderm","C2"
"Azmacort","C2"
"Fluocinolone","C2"
"SYNALAR FTE","C2"
"PEVARYL T.C.","C2"
"SYNALAR-HP","C2"
"ZILRETTA","C2"
"Remotic","C2"
"FLUOTREX","C2"
"Nasacort Hfa","C2"
"ADCORTYL","C2"
"ARISTOCORT","C2"
"Ranibizumab","C2"
"Pegaptanib Sodium","C2"
"Flutex","C2"
"NYSTADERMAL","C2"
"Oralone","C2"
"Kenalog-40","C2"
"Iluvien","C2"
"Trivaris","C2"
"Fluonid","C2"
"Caverject Impulse","C2"
"TRIACET","C2"
"SQUALAMINE","C2"
"Triderm","C2"
"Prostin Vr Pediatric","C2"
"VIRIDAL DUO","C2"
"U-10,136","C2"
"TRIATEX","C2"
"Gppe Ear Dps Cap","C2"
"Tri-nasal","C2"
"DERMA-SMOOTHE/FS","C2"
"Allernaze","C2"
"Macugen","C2"
"Rhufab","C2"
"Edex","C2"
"Prostaglandin E1","C2"
"GPPE EAR OINT","C2"
"Triacort","C2"
"Synalar-N","C2"
"KENALOG","C2"
"NX1838","C2"
"LUCENTIS","C2"
"EYE001","C2"
"KENALOG IN ORABASE","C2"
"KENACORT","C2"
"PROSTIN","C2"
"AUDICORT","C2"
"CAVERJECT","C2"
"Viridal 5","C2"
"Kenalog-H","C2"
"TRYMEX","C2"
"TRIESENCE","C2"
"Aristogel","C2"
"Viridal 20","C2"
"FLUOCET","C2"
"ALPROSTADIL","C2"
"CAPEX","C2"
"FS SHAMPOO","C2"
"FAB-12 VARIANT Y0317","C2"
"NASACORT AQ","C2"
"Aristocort A","C2"
"Aureocort","C2"
"Dermotic","C2"
"TRIAMCINOLONE ACETONIDE","C2"
"VIRIDAL 10","C2"
"Vitaros","C2"
"U-10136","C2"
"Retisert","C2"
"Synandone","C2"
"Oracort","C2"
"Nasacort allergy 24 hour","C2"
"Vetalog","C2"
"SYNALAR","C2"
"RG-3645","C2"
"Kenalog-10","C2"
"PGE1","C2"
"Kenacourt","C2"
"Mecamylamine","C2"
"GEVOKIZUMAB","C2"
"REMICADE","C2"
"GSK-1070806","C2"
"Infliximab","C2"
"Inflectra","C2"
"cA2","C2"
"REMSIMA","C2"
"XOMA-052","C2"
"ETANERCEPT","C2"
"Benepali","C2"
"ENBREL","C2"
"BG-9924","C2"
"TT-47","C2"
"FILGOTINIB","C2"
"G-146034","C2"
"Rhu Tnfr:Fc","C2"
"L04AB01","C2"
"TNFR-immunoadhesin","C2"
"BAMINERCEPT","C2"
"GLPG0634","C2"
"ONO-4059","C2"
"LY-2603618","C2"
"IC-83","C2"
"RABUSERTIB","C2"
"BI-2536","C2"
"Symbyax","C2"
"MENZOL","C2"
"Jencycla","C2"
"NORETHINDRONE","C2"
"Dalfampridine","C2"
"Norlutin","C2"
"NORETHIDRONE","C2"
"ERRIN","C2"
"BAF-312","C2"
"Activella","C2"
"Incassia","C2"
"Prozac","C2"
"Ampyra Extended Release","C2"
"Micronor HRT","C2"
"CAMILA","C2"
"NOR-QD","C2"
"Methylprednisolone succinate","C2"
"METHYLPREDNISOLONE HEMISUCCINATE","C2"
"AMPYRA","C2"
"FAMPYRA","C2"
"Sarafem","C2"
"EL-970","C2"
"PRIMOLUT N","C2"
"AYGESTIN","C2"
"MICRONOR","C2"
"Combipatch","C2"
"Noriday","C2"
"Fampridine","C2"
"Heather","C2"
"Femhrt","C2"
"UTOVLAN","C2"
"Norlutate","C2"
"Neurelan","C2"
"Fondaparinux","C2"
"MEVINOLIN","C2"
"CAPLENAL","C2"
"MEN-2234","C2"
"Zyloprim","C2"
"Romiplostim","C2"
"Allopurinol","C2"
"Hamarin 300","C2"
"Nplate","C2"
"PF-05082566","C2"
"BW-56158","C2"
"PHOSPHATE SALT OF TRICYCLIC NUCLEOSIDE","C2"
"Hamarin 100","C2"
"EMD-273066","C2"
"Zibotentan","C2"
"ZD-4054","C2"
"XANTHOMAX-100","C2"
"Triciribine Phosphate","C2"
"INTERFERON GAMMA-1B","C2"
"Aluline 100","C2"
"SCH 13521","C2"
"ACTIMMUNE","C2"
"Utomilumab","C2"
"Interferon gamma","C2"
"R-935788","C2"
"Tucotuzumab celmoleukin","C2"
"Abagovomab","C2"
"Interferon gama-1b","C2"
"Interferon Gamma-2A","C2"
"EULEXIN","C2"
"Mevacor","C2"
"ZYLORIC","C2"
"NAVITOCLAX","C2"
"MK-803","C2"
"CHIMAX","C2"
"Triciribine","C2"
"XANTHOMAX-300","C2"
"ACA-125","C2"
"ABT-263","C2"
"TAK-659","C2"
"Aloral","C2"
"R788 FREE ACID","C2"
"R-935788 Free acid","C2"
"MM-121","C2"
"ALULINE 300","C2"
"Mevinacor 40","C2"
"ZYLORIC-300","C2"
"R-788","C2"
"HUKS-IL2","C2"
"Uricto","C2"
"LOPURIN","C2"
"Ledopur","C2"
"MEVINACOR","C2"
"KSA-INTERLEUKIN-2","C2"
"Drogenil","C2"
"Mevinacor 10","C2"
"BW-56-158","C2"
"IMMUKIN","C2"
"SAR-256212","C2"
"ALTOPREV","C2"
"COSURIC","C2"
"VQD-002","C2"
"CEP-701","C2"
"SPM-924","C2"
"SP924","C2"
"IMETELSTAT","C2"
"Tasmar","C2"
"IMGN-901","C2"
"Ro-407592","C2"
"KT-555","C2"
"A-154475","C2"
"A-154475.0","C2"
"A-1544750","C2"
"KT5555","C2"
"TOLCAPONE","C2"
"HUN901-DM1, BB-10901","C2"
"Ro-40-7592","C2"
"DEXCHLORPHENIRAMINE","C2"
"TRIPTORELIN","C2"
"NE-58095","C2"
"ViePax XL","C2"
"Estromenin","C2"
"FERTIRAL LH-RH","C2"
"Palestrol","C2"
"Fonatol","C2"
"IMMU-132","C2"
"PPI-149","C2"
"Cyproterone","C2"
"VEXARIN XL","C2"
"Actonel","C2"
"VENLANEO XL","C2"
"Suprefact","C2"
"CS-1443","C2"
"D-63153","C2"
"DSTP3086S","C2"
"Vandortuzumab vedotin","C2"
"Stilbestrol","C2"
"Alventa XL","C2"
"RU 23908","C2"
"TIFAXIN XL","C2"
"Vensir XL","C2"
"R3827","C2"
"Winfex XL","C2"
"TAMPOVAGAN","C2"
"HE3235","C2"
"Nebentan","C2"
"Testosterone enantate","C2"
"GG-745","C2"
"Nilandron","C2"
"HUJ591 111IN","C2"
"Bonilux XL","C2"
"ESTROGENINE","C2"
"Avodart","C2"
"VENLADEX XL","C2"
"Andro-Cyp","C2"
"Suprecur","C2"
"Danusertib","C2"
"Testoderm tts","C2"
"DECAPEPTYL","C2"
"JNJ-56021927","C2"
"RODOMEL XL","C2"
"Distilbene","C2"
"PRIMOTESTON DEPOT","C2"
"Inc.","C2"
"RG-7450","C2"
"INNO-406","C2"
"BAY1841788","C2"
"Delatestryl","C2"
"CL 118,532","C2"
"Testopatch","C2"
"APC-100","C2"
"ESTRACYT","C2"
"Apotone","C2"
"YM598","C2"
"Doxercalciferol","C2"
"PROSTIDE","C2"
"KX2-391","C2"
"KYPROLIS","C2"
"Depotest","C2"
"CL-118532","C2"
"AMG-208","C2"
"Ranfaxine XL","C2"
"Maxolon","C2"
"Propecia","C2"
"ANDROCUR 10","C2"
"MSTP2109A","C2"
"Sacituzumab govitecan","C2"
"Apitolisib","C2"
"TESTODERM","C2"
"LY2452473","C2"
"Stilboesterol","C2"
"MacroGenics","C2"
"Zetia","C2"
"Risedronic Acid","C2"
"Stilbestroform","C2"
"DEPEFEX XL","C2"
"Fortesta","C2"
"TESTOSTERONE HEPTANOATE","C2"
"EFEXOR XL","C2"
"177 Lu-J591","C2"
"TRIXAT XL","C2"
"Diane","C2"
"VENLABLUE XL","C2"
"ARN-509","C2"
"Mentaven XL","C2"
"Aindeem","C2"
"SH 714","C2"
"SUNVENIZ XL","C2"
"CNS-9","C2"
"NILUTAMIDE","C2"
"STILBOESTROL","C2"
"Anadron","C2"
"J591 177Lu","C2"
"Effexor","C2"
"TESTIM","C2"
"Androgel","C2"
"ARCOXIA","C2"
"ANDROCUR","C2"
"STRIANT SR","C2"
"Tarenflurbil","C2"
"HuJ591 (177Lu)","C2"
"Tonpular XL","C2"
"GI 198745","C2"
"Testim 1%","C2"
"Gonadorelin","C2"
"Erleada","C2"
"MK-0822","C2"
"Striant","C2"
"VENLALIC XL","C2"
"Hectorol","C2"
"NS-187","C2"
"Risedronate","C2"
"Apstil","C2"
"Estrobene","C2"
"STILBETIN","C2"
"MK-0663","C2"
"TARDCAPS XL","C2"
"AMPHERO XL","C2"
"HuMax-CD38","C2"
"HuJ591 (111In)","C2"
"BUSERELIN","C2"
"Androgel 1%","C2"
"Ezetrol","C2"
"GDC-0980","C2"
"INTRINSA","C2"
"Depo-Testadiol","C2"
"Daratumumab","C2"
"Estramustine Phosphate","C2"
"Viepax","C2"
"RG-7422","C2"
"HUJ591-GS","C2"
"Testopel","C2"
"Enoblituzumab","C2"
"SCH-58235","C2"
"Vogelxo","C2"
"TESTORAL","C2"
"Foraven XL","C2"
"Flurizan","C2"
"CYREN A","C2"
"RAPAFLO","C2"
"HUJ591 177LU","C2"
"OZARELIX","C2"
"Politid XL","C2"
"Natesto","C2"
"Clopra","C2"
"RELEFACT LH-RH","C2"
"CYPROSTAT","C2"
"Venaxx XL","C2"
"BAFETINIB","C2"
"Androderm","C2"
"GDC-0980.1","C2"
"HUJ591","C2"
"Carlumab","C2"
"Plenaxis","C2"
"E-7869","C2"
"GTx-758","C2"
"Synthestrin","C2"
"DepAndro","C2"
"TESTOGEL","C2"
"Andropatch","C2"
"Proscar","C2"
"Abarelix","C2"
"SYNESTRIN","C2"
"SGI-1776","C2"
"PR-171","C2"
"Burixafor","C2"
"G-038390.1","C2"
"Testosterone Cyclopentylpropionate","C2"
"Capesaris","C2"
"ASG-5ME","C2"
"AZD3514","C2"
"CNTO-888","C2"
"Clopra-""Yellow""","C2"
"AXIRON","C2"
"DEPO-TESTOSTERONE","C2"
"MPC-7869","C2"
"TOSTRAN","C2"
"G-038390","C2"
"PHA-739358","C2"
"CARFILZOMIB","C2"
"HE-11","C2"
"Efexor","C2"
"Vaxalin XL","C2"
"ODM-201","C2"
"Human gonadoliberin-i","C2"
"MGA-271","C2"
"TAK-385","C2"
"NEW-ESTRANOL 1","C2"
"RELUGOLIX","C2"
"MK-906","C2"
"3003-005","C2"
"TG-0054","C2"
"Reglan","C2"
"Cortone","C2"
"MDX-1103","C2"
"CORTATE","C2"
"Cortistab","C2"
"CORTISONE","C2"
"CORTISYL","C2"
"SIFALIMUMAB","C2"
"MEDI-545","C2"
"Cortelan","C2"
"PANOREX","C2"
"PENTASA","C2"
"Aranesp SureClick","C2"
"Canasa","C2"
"HUMULIN R PEN","C2"
"INSULIN HUMAN (SYNTHESIS)","C2"
"HUMULIN R","C2"
"Coltec EC","C2"
"HUMULIN","C2"
"Insuman Infusat","C2"
"INSULIN","C2"
"Novolin","C2"
"PACRITINIB","C2"
"LINZESS","C2"
"VELOSULIN BR","C2"
"Apo2L/Trail","C2"
"A33 131I","C2"
"Drozitumab","C2"
"ENTOLIMOD","C2"
"Insulin (human)","C2"
"PRO-95780","C2"
"Fisalamine","C2"
"MESALAZINE","C2"
"BIBH-1","C2"
"MK-8353","C2"
"Humulin r kwikpen","C2"
"17-1A","C2"
"Tozasertib","C2"
"NESP","C2"
"VX-680","C2"
"Mesalamine","C2"
"VX-68","C2"
"INSULIN RECOMBINANT HUMAN","C2"
"SB1518","C2"
"F19 131I","C2"
"APRISO","C2"
"Mesren MR","C2"
"CONSTELLA","C2"
"Pentasa SR","C2"
"NOVOLIN R","C2"
"BMS-908662","C2"
"SALOFALK","C2"
"ROWASA","C2"
"MEZAVANT XL","C2"
"INSULIN HUMAN (BIOSYNTHESIS)","C2"
"MK-045","C2"
"SFROWASA","C2"
"VELOSULIN","C2"
"INOMAX","C2"
"SCH-900353","C2"
"VELOSULIN BR HUMAN","C2"
"SCH-717454","C2"
"LIALDA","C2"
"Aranesp","C2"
"ASACOL","C2"
"ISATUXIMAB","C2"
"SAR-650984","C2"
"ONX-0803","C2"
"HUMULIN BR","C2"
"IPOCOL","C2"
"Exubera","C2"
"OCTASA","C2"
"AFREZZA","C2"
"Edrecolomab","C2"
"BMS-582664","C2"
"Asacol Hd","C2"
"ROBATUMUMAB","C2"
"PD-0325901","C2"
"BRIVANIB ALANINATE","C2"
"Dulanermin","C2"
"CBLB502","C2"
"19D12","C2"
"Darbepoetin alfa","C2"
"INS HUMULIN R","C2"
"LINACLOTIDE","C2"
"INSULIN RECOMBINANT PURIFIED HUMAN","C2"
"C-1","C2"
"F19","C2"
"INSULIN HUMAN","C2"
"DELZICOL","C2"
"EXEL-2819","C2"
"Anti-Dr5 Rhumab-Dr5","C2"
"MK-0457","C2"
"A33","C2"
"XL-281","C2"
"Roniciclib","C2"
"MEGF0444A","C2"
"LUMRETUZUMAB","C2"
"CYT-11387","C2"
"ACLOVATE","C2"
"SCH-22219","C2"
"EZATIOSTAT","C2"
"AMG-888","C2"
"Froben","C2"
"Plinabulin","C2"
"Fexofenadine","C2"
"CLARINEX","C2"
"MK-2866","C2"
"SCH 34117","C2"
"BTS-18322","C2"
"Anyara","C2"
"ALCLOMETASONE DIPROPIONATE","C2"
"VOSAROXIN","C2"
"XR9576","C2"
"Tepotinib","C2"
"FLUBIPROFEN","C2"
"MIDETORIN","C2"
"E-3810","C2"
"MODRASONE","C2"
"AL-3810","C2"
"EMD-1214063","C2"
"Sibrotuzumab","C2"
"RG-7321","C2"
"ASP-2215","C2"
"Ocufen","C2"
"Transact","C2"
"VOLASERTIB","C2"
"Allegra","C2"
"RG7116","C2"
"Anti-EGFL7 monoclonal antibody","C2"
"L19SIP 131I","C2"
"Cebutid","C2"
"AERIUS","C2"
"IPH-2101","C2"
"Ro-5479599","C2"
"VX-970","C2"
"DESLORATADINE","C2"
"FROBEN SR","C2"
"NPI-2358","C2"
"BTS 18,322","C2"
"Pictilisib","C2"
"MSC-2156119","C2"
"BI 6727","C2"
"TARIQUIDAR","C2"
"GTX-024","C2"
"LUCITANIB","C2"
"RG7414","C2"
"CYC-202","C2"
"IRX-4204","C2"
"AL-39256","C2"
"Flurbiprofen","C2"
"LY-2584702","C2"
"NKTR-118","C2"
"MOVENTIG","C2"
"OSTARINE","C2"
"SELICICLIB","C2"
"MSC-2156119J","C2"
"Enobosarm","C2"
"S-80881","C2"
"VORELOXIN","C2"
"SNS-595","C2"
"Anamorelin","C2"
"Naptumomab Estafenatox","C2"
"GDC-0941","C2"
"BAY-1000394","C2"
"CYT-387","C2"
"KB-145960","C2"
"PARSATUZUMAB","C2"
"TTS CD3","C2"
"BERZOSERTIB","C2"
"U3-1287","C2"
"BPI-9016M","C2"
"GS-0387","C2"
"STREFEN","C2"
"MOMELOTINIB","C2"
"Neoclarityn","C2"
"CO-3810","C2"
"Ansaid","C2"
"AGN-194204","C2"
"U-27182","C2"
"Anyara TTS CD3","C2"
"ABR-217620","C2"
"MGCD-265","C2"
