"Drug","Gene","Disease"
"IMC-11F8","GRN","ALZHEIMER'S DISEASE"
"Xcytrin","GRN","ALZHEIMER'S DISEASE"
"BL-8040","GRN","ALZHEIMER'S DISEASE"
"VOLASERTIB","GRN","ALZHEIMER'S DISEASE"
"Esperal","GRN","ALZHEIMER'S DISEASE"
"Allegra","GRN","ALZHEIMER'S DISEASE"
"KORLYM","GRN","ALZHEIMER'S DISEASE"
"LONAFARNIB","GRN","ALZHEIMER'S DISEASE"
"RG7116","GRN","ALZHEIMER'S DISEASE"
"Trastuzumab-Mcc-Dm1 T-Dm1","GRN","ALZHEIMER'S DISEASE"
"Jevtana Kit","GRN","ALZHEIMER'S DISEASE"
"L19SIP 131I","GRN","ALZHEIMER'S DISEASE"
"CO-1686","GRN","ALZHEIMER'S DISEASE"
"PF-3512676","GRN","ALZHEIMER'S DISEASE"
"AERIUS","GRN","ALZHEIMER'S DISEASE"
"Duraphyl","GRN","ALZHEIMER'S DISEASE"
"RAMUCIRUMAB","GRN","ALZHEIMER'S DISEASE"
"FP-GP1","GRN","ALZHEIMER'S DISEASE"
"BMS-908662","GRN","ALZHEIMER'S DISEASE"
"Tybost","GRN","ALZHEIMER'S DISEASE"
"Iclusig","GRN","ALZHEIMER'S DISEASE"
"SAR-245408","GRN","ALZHEIMER'S DISEASE"
"KB-80319","GRN","ALZHEIMER'S DISEASE"
"WAY-EKB-569","GRN","ALZHEIMER'S DISEASE"
"Ceritinib","GRN","ALZHEIMER'S DISEASE"
"HuMax-EGFr","GRN","ALZHEIMER'S DISEASE"
"KM-8761","GRN","ALZHEIMER'S DISEASE"
"HM-781-36B","GRN","ALZHEIMER'S DISEASE"
"AMG-655","GRN","ALZHEIMER'S DISEASE"
"SYN1131","GRN","ALZHEIMER'S DISEASE"
"Tivantinib","GRN","ALZHEIMER'S DISEASE"
"Mifegyne","GRN","ALZHEIMER'S DISEASE"
"API-GP3","GRN","ALZHEIMER'S DISEASE"
"IPH-2101","GRN","ALZHEIMER'S DISEASE"
"Ro-5479599","GRN","ALZHEIMER'S DISEASE"
"CDP-820","GRN","ALZHEIMER'S DISEASE"
"SIM-6802","GRN","ALZHEIMER'S DISEASE"
"R-428","GRN","ALZHEIMER'S DISEASE"
"ZELBORAF","GRN","ALZHEIMER'S DISEASE"
"HUMAB<EGFR>","GRN","ALZHEIMER'S DISEASE"
"PERJETA","GRN","ALZHEIMER'S DISEASE"
"TRM-1 HGS-ETR1","GRN","ALZHEIMER'S DISEASE"
"VX-970","GRN","ALZHEIMER'S DISEASE"
"DESLORATADINE","GRN","ALZHEIMER'S DISEASE"
"Uniphyllin Continus","GRN","ALZHEIMER'S DISEASE"
"CS-706","GRN","ALZHEIMER'S DISEASE"
"GA201","GRN","ALZHEIMER'S DISEASE"
"Cometriq","GRN","ALZHEIMER'S DISEASE"
"PERTUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Theoclear-100","GRN","ALZHEIMER'S DISEASE"
"AZD2281","GRN","ALZHEIMER'S DISEASE"
"CGS-20267","GRN","ALZHEIMER'S DISEASE"
"RG7446","GRN","ALZHEIMER'S DISEASE"
"Cabazitaxel","GRN","ALZHEIMER'S DISEASE"
"MSC-2156119","GRN","ALZHEIMER'S DISEASE"
"Ro-5083945","GRN","ALZHEIMER'S DISEASE"
"HY-15150","GRN","ALZHEIMER'S DISEASE"
"Urelumab","GRN","ALZHEIMER'S DISEASE"
"Etirinotecan Pegol","GRN","ALZHEIMER'S DISEASE"
"TARIQUIDAR","GRN","ALZHEIMER'S DISEASE"
"MIFEPREX","GRN","ALZHEIMER'S DISEASE"
"PROSTIDE","GRN","ALZHEIMER'S DISEASE"
"PEPCID AC","GRN","ALZHEIMER'S DISEASE"
"QC-11751","GRN","ALZHEIMER'S DISEASE"
"PEPCID RPD","GRN","ALZHEIMER'S DISEASE"
"CNX-419","GRN","ALZHEIMER'S DISEASE"
"GTX-024","GRN","ALZHEIMER'S DISEASE"
"Proscar","GRN","ALZHEIMER'S DISEASE"
"LUCITANIB","GRN","ALZHEIMER'S DISEASE"
"RG7414","GRN","ALZHEIMER'S DISEASE"
"THEOCHRON","GRN","ALZHEIMER'S DISEASE"
"FAMOTIDINE PRESERVATIVE FREE","GRN","ALZHEIMER'S DISEASE"
"Cobicistat","GRN","ALZHEIMER'S DISEASE"
"Finasteride","GRN","ALZHEIMER'S DISEASE"
"HKI-272","GRN","ALZHEIMER'S DISEASE"
"Propecia","GRN","ALZHEIMER'S DISEASE"
"TRM-1","GRN","ALZHEIMER'S DISEASE"
"LY-2875358","GRN","ALZHEIMER'S DISEASE"
"Entinostat","GRN","ALZHEIMER'S DISEASE"
"ROCILETINIB","GRN","ALZHEIMER'S DISEASE"
"PNU-155971","GRN","ALZHEIMER'S DISEASE"
"VOXTALISIB","GRN","ALZHEIMER'S DISEASE"
"FCE24304","GRN","ALZHEIMER'S DISEASE"
"THEO-24","GRN","ALZHEIMER'S DISEASE"
"MATUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Avelumab","GRN","ALZHEIMER'S DISEASE"
"Belinostat","GRN","ALZHEIMER'S DISEASE"
"NOV-120101","GRN","ALZHEIMER'S DISEASE"
"11F8","GRN","ALZHEIMER'S DISEASE"
"AINDEEM","GRN","ALZHEIMER'S DISEASE"
"PD-0325901","GRN","ALZHEIMER'S DISEASE"
"Zyclara","GRN","ALZHEIMER'S DISEASE"
"MERESTINIB","GRN","ALZHEIMER'S DISEASE"
"Dulanermin","GRN","ALZHEIMER'S DISEASE"
"FUTUXIMAB","GRN","ALZHEIMER'S DISEASE"
"RUCAPARIB","GRN","ALZHEIMER'S DISEASE"
"MM-121","GRN","ALZHEIMER'S DISEASE"
"RG-1273","GRN","ALZHEIMER'S DISEASE"
"AZD-6738","GRN","ALZHEIMER'S DISEASE"
"LY-3009120","GRN","ALZHEIMER'S DISEASE"
"OSTARINE","GRN","ALZHEIMER'S DISEASE"
"WAY-179272","GRN","ALZHEIMER'S DISEASE"
"XL-518","GRN","ALZHEIMER'S DISEASE"
"BELEODAQ","GRN","ALZHEIMER'S DISEASE"
"Mapatumumab","GRN","ALZHEIMER'S DISEASE"
"PEPCID","GRN","ALZHEIMER'S DISEASE"
"MSC-2156119J","GRN","ALZHEIMER'S DISEASE"
"Aromasin","GRN","ALZHEIMER'S DISEASE"
"GD texaphyrin","GRN","ALZHEIMER'S DISEASE"
"THEOPHYL-225","GRN","ALZHEIMER'S DISEASE"
"Enobosarm","GRN","ALZHEIMER'S DISEASE"
"DP-4978","GRN","ALZHEIMER'S DISEASE"
"VORELOXIN","GRN","ALZHEIMER'S DISEASE"
"MSC-1936369B","GRN","ALZHEIMER'S DISEASE"
"S-26308","GRN","ALZHEIMER'S DISEASE"
"Imiquimod","GRN","ALZHEIMER'S DISEASE"
"T140","GRN","ALZHEIMER'S DISEASE"
"SCH 66336","GRN","ALZHEIMER'S DISEASE"
"Cabozantinib","GRN","ALZHEIMER'S DISEASE"
"SNS-595","GRN","ALZHEIMER'S DISEASE"
"AG-014699","GRN","ALZHEIMER'S DISEASE"
"Nuelin","GRN","ALZHEIMER'S DISEASE"
"Anamorelin","GRN","ALZHEIMER'S DISEASE"
"GS-3065","GRN","ALZHEIMER'S DISEASE"
"ARQ 197","GRN","ALZHEIMER'S DISEASE"
"DISULFIRAM","GRN","ALZHEIMER'S DISEASE"
"CONATUMUMAB","GRN","ALZHEIMER'S DISEASE"
"COBIMETINIB","GRN","ALZHEIMER'S DISEASE"
"MSC1936369A; AS703026; EMD 1036239","GRN","ALZHEIMER'S DISEASE"
"Femara","GRN","ALZHEIMER'S DISEASE"
"BERZOSERTIB","GRN","ALZHEIMER'S DISEASE"
"PATRITUMAB","GRN","ALZHEIMER'S DISEASE"
"XG1-048","GRN","ALZHEIMER'S DISEASE"
"Zykadia","GRN","ALZHEIMER'S DISEASE"
"PXD101","GRN","ALZHEIMER'S DISEASE"
"VEMURAFENIB","GRN","ALZHEIMER'S DISEASE"
"AMG-761","GRN","ALZHEIMER'S DISEASE"
"U3-1287","GRN","ALZHEIMER'S DISEASE"
"HGS-ETR1","GRN","ALZHEIMER'S DISEASE"
"CS-1008","GRN","ALZHEIMER'S DISEASE"
"Selinexor","GRN","ALZHEIMER'S DISEASE"
"EMD-72000","GRN","ALZHEIMER'S DISEASE"
"LGX-818","GRN","ALZHEIMER'S DISEASE"
"RU 38486","GRN","ALZHEIMER'S DISEASE"
"BPI-9016M","GRN","ALZHEIMER'S DISEASE"
"PLX-8394","GRN","ALZHEIMER'S DISEASE"
"TRA-8","GRN","ALZHEIMER'S DISEASE"
"Sagopilone","GRN","ALZHEIMER'S DISEASE"
"MK-869","GRN","ALZHEIMER'S DISEASE"
"Pepcid preservative free","GRN","ALZHEIMER'S DISEASE"
"TG01","GRN","ALZHEIMER'S DISEASE"
"KW-0761","GRN","ALZHEIMER'S DISEASE"
"SAR-256212","GRN","ALZHEIMER'S DISEASE"
"ALCLOMETASONE","GRN","ALZHEIMER'S DISEASE"
"CUDC-101","GRN","ALZHEIMER'S DISEASE"
"AV-299","GRN","ALZHEIMER'S DISEASE"
"Neoclarityn","GRN","ALZHEIMER'S DISEASE"
"Pevonedistat","GRN","ALZHEIMER'S DISEASE"
"MK-906","GRN","ALZHEIMER'S DISEASE"
"RG-7204","GRN","ALZHEIMER'S DISEASE"
"GDC-0973","GRN","ALZHEIMER'S DISEASE"
"TIGATUZUMAB","GRN","ALZHEIMER'S DISEASE"
"OLARATUMAB","GRN","ALZHEIMER'S DISEASE"
"3003-005","GRN","ALZHEIMER'S DISEASE"
"ELIXOPHYLLIN","GRN","ALZHEIMER'S DISEASE"
"MK-0869","GRN","ALZHEIMER'S DISEASE"
"EXEL-2819","GRN","ALZHEIMER'S DISEASE"
"EC145","GRN","ALZHEIMER'S DISEASE"
"MK-208","GRN","ALZHEIMER'S DISEASE"
"DEFACTINIB","GRN","ALZHEIMER'S DISEASE"
"NERATINIB","GRN","ALZHEIMER'S DISEASE"
"Imodium","GRN","ALZHEIMER'S DISEASE"
"HUMAX-CD38","GRN","ALZHEIMER'S DISEASE"
"Anti-Dr5 Rhumab-Dr5","GRN","ALZHEIMER'S DISEASE"
"PLX-4032","GRN","ALZHEIMER'S DISEASE"
"NSC-25953","GRN","ALZHEIMER'S DISEASE"
"MOGAMULIZUMAB","GRN","ALZHEIMER'S DISEASE"
"BMS-663513","GRN","ALZHEIMER'S DISEASE"
"AVL-301","GRN","ALZHEIMER'S DISEASE"
"BPI-9016","GRN","ALZHEIMER'S DISEASE"
"L19SIP","GRN","ALZHEIMER'S DISEASE"
"R-109339","GRN","ALZHEIMER'S DISEASE"
"XL-281","GRN","ALZHEIMER'S DISEASE"
"INNO-206","GRN","ALZHEIMER'S DISEASE"
"SCH-900105","GRN","ALZHEIMER'S DISEASE"
"HUMAX-EGFR, 2F8","GRN","ALZHEIMER'S DISEASE"
"MK-0966","GRN","ALZHEIMER'S DISEASE"
"RG-7421","GRN","ALZHEIMER'S DISEASE"
"LINTUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Daunorubicin","GRN","ALZHEIMER'S DISEASE"
"BVD-523","GRN","ALZHEIMER'S DISEASE"
"LY-2157299","GRN","ALZHEIMER'S DISEASE"
"Cerubidine","GRN","ALZHEIMER'S DISEASE"
"PF-04449913","GRN","ALZHEIMER'S DISEASE"
"Romiplostim","GRN","ALZHEIMER'S DISEASE"
"Tranylcypromine","GRN","ALZHEIMER'S DISEASE"
"Mylotarg","GRN","ALZHEIMER'S DISEASE"
"Nplate","GRN","ALZHEIMER'S DISEASE"
"Glasdegib","GRN","ALZHEIMER'S DISEASE"
"Idamycin","GRN","ALZHEIMER'S DISEASE"
"Quizartinib","GRN","ALZHEIMER'S DISEASE"
"Venclexta","GRN","ALZHEIMER'S DISEASE"
"ASP1517","GRN","ALZHEIMER'S DISEASE"
"Mitoxantrone HCl","GRN","ALZHEIMER'S DISEASE"
"DAUNOXOME","GRN","ALZHEIMER'S DISEASE"
"ROXADUSTAT","GRN","ALZHEIMER'S DISEASE"
"Birinapant","GRN","ALZHEIMER'S DISEASE"
"CC-90007 Free Base","GRN","ALZHEIMER'S DISEASE"
"Methylprednisolone Hemisuccinate","GRN","ALZHEIMER'S DISEASE"
"Luspatercept","GRN","ALZHEIMER'S DISEASE"
"ENASIDENIB","GRN","ALZHEIMER'S DISEASE"
"PF-4449913","GRN","ALZHEIMER'S DISEASE"
"Mitoxantrone","GRN","ALZHEIMER'S DISEASE"
"POL-6326","GRN","ALZHEIMER'S DISEASE"
"Idarubicin","GRN","ALZHEIMER'S DISEASE"
"AG-221","GRN","ALZHEIMER'S DISEASE"
"Novantrone","GRN","ALZHEIMER'S DISEASE"
"Ulixertinib","GRN","ALZHEIMER'S DISEASE"
"E2.3","GRN","ALZHEIMER'S DISEASE"
"A27.15","GRN","ALZHEIMER'S DISEASE"
"Galunisertib","GRN","ALZHEIMER'S DISEASE"
"ABT-199","GRN","ALZHEIMER'S DISEASE"
"REVOLADE","GRN","ALZHEIMER'S DISEASE"
"VRT-752271","GRN","ALZHEIMER'S DISEASE"
"Methylprednisolone succinate","GRN","ALZHEIMER'S DISEASE"
"Huma-195-Gelonin","GRN","ALZHEIMER'S DISEASE"
"TXA127","GRN","ALZHEIMER'S DISEASE"
"Etanercept","GRN","ALZHEIMER'S DISEASE"
"Eltrombopag","GRN","ALZHEIMER'S DISEASE"
"TL32711","GRN","ALZHEIMER'S DISEASE"
"ACE-536","GRN","ALZHEIMER'S DISEASE"
"FG-4592","GRN","ALZHEIMER'S DISEASE"
"Venetoclax","GRN","ALZHEIMER'S DISEASE"
"INCB-47986","GRN","ALZHEIMER'S DISEASE"
"TIOGUANINE","GRN","ALZHEIMER'S DISEASE"
"INCB-047986","GRN","ALZHEIMER'S DISEASE"
"MITOXANTRONE HYDROCHLORIDE","GRN","ALZHEIMER'S DISEASE"
"DOME-CORT","GRN","ALZHEIMER'S DISEASE"
"Dexamethasone acetate","GRN","ALZHEIMER'S DISEASE"
"TRIPTORELIN","GRN","ALZHEIMER'S DISEASE"
"Bismuth subsalicylate","GRN","ALZHEIMER'S DISEASE"
"Obinutuzumab","GRN","ALZHEIMER'S DISEASE"
"NE-58095","GRN","ALZHEIMER'S DISEASE"
"FOSTAMATINIB","GRN","ALZHEIMER'S DISEASE"
"Polatuzumab vedotin","GRN","ALZHEIMER'S DISEASE"
"SMS-201-995","GRN","ALZHEIMER'S DISEASE"
"CORTISONE","GRN","ALZHEIMER'S DISEASE"
"Forodesine","GRN","ALZHEIMER'S DISEASE"
"HuMax-CD4","GRN","ALZHEIMER'S DISEASE"
"IDEC-IN2B8","GRN","ALZHEIMER'S DISEASE"
"Siplizumab","GRN","ALZHEIMER'S DISEASE"
"GALIXIMAB","GRN","ALZHEIMER'S DISEASE"
"SOTRASTAURIN","GRN","ALZHEIMER'S DISEASE"
"CLARITIN REDITABS","GRN","ALZHEIMER'S DISEASE"
"VISILIZUMAB","GRN","ALZHEIMER'S DISEASE"
"CORTONE","GRN","ALZHEIMER'S DISEASE"
"Actonel","GRN","ALZHEIMER'S DISEASE"
"Corrective Suspension","GRN","ALZHEIMER'S DISEASE"
"CLARITYNE","GRN","ALZHEIMER'S DISEASE"
"INEBILIZUMAB","GRN","ALZHEIMER'S DISEASE"
"Arzerra","GRN","ALZHEIMER'S DISEASE"
"Iratumumab","GRN","ALZHEIMER'S DISEASE"
"VELTUZUMAB","GRN","ALZHEIMER'S DISEASE"
"MLN9708","GRN","ALZHEIMER'S DISEASE"
"HUMAB<CD20>","GRN","ALZHEIMER'S DISEASE"
"Adcetris","GRN","ALZHEIMER'S DISEASE"
"HEFI-1","GRN","ALZHEIMER'S DISEASE"
"Humax-Cd20 2F2","GRN","ALZHEIMER'S DISEASE"
"Intron A HSA-free","GRN","ALZHEIMER'S DISEASE"
"MARIZOMIB","GRN","ALZHEIMER'S DISEASE"
"Fiasp flextouch","GRN","ALZHEIMER'S DISEASE"
"CORTELAN","GRN","ALZHEIMER'S DISEASE"
"MEDI-551","GRN","ALZHEIMER'S DISEASE"
"Brentuximab Vedotin","GRN","ALZHEIMER'S DISEASE"
"CORTISTAB","GRN","ALZHEIMER'S DISEASE"
"HMPL-523","GRN","ALZHEIMER'S DISEASE"
"TOSITUMOMAB","GRN","ALZHEIMER'S DISEASE"
"Sterane","GRN","ALZHEIMER'S DISEASE"
"Insulin aspart","GRN","ALZHEIMER'S DISEASE"
"AFUTUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Vumon","GRN","ALZHEIMER'S DISEASE"
"Norethindrone Acetate","GRN","ALZHEIMER'S DISEASE"
"Ixazomib citrate","GRN","ALZHEIMER'S DISEASE"
"Gastro-Cote","GRN","ALZHEIMER'S DISEASE"
"Ro-5072759 HUMAB<CD20>","GRN","ALZHEIMER'S DISEASE"
"BLINATUMOMAB","GRN","ALZHEIMER'S DISEASE"
"Zevalin","GRN","ALZHEIMER'S DISEASE"
"INTERFERON GAMMA-1B","GRN","ALZHEIMER'S DISEASE"
"GSK-1841157","GRN","ALZHEIMER'S DISEASE"
"Children's Claritin","GRN","ALZHEIMER'S DISEASE"
"Ninlaro","GRN","ALZHEIMER'S DISEASE"
"Decapeptyl","GRN","ALZHEIMER'S DISEASE"
"Claritin","GRN","ALZHEIMER'S DISEASE"
"Inotuzumab ozogamicin","GRN","ALZHEIMER'S DISEASE"
"COPANLISIB","GRN","ALZHEIMER'S DISEASE"
"FIASP","GRN","ALZHEIMER'S DISEASE"
"YTTRIUM Y 90 EPRATUZUMAB","GRN","ALZHEIMER'S DISEASE"
"MEDI-538","GRN","ALZHEIMER'S DISEASE"
"RO 5072759 HUMAB<CD20>","GRN","ALZHEIMER'S DISEASE"
"MILATUZUMAB","GRN","ALZHEIMER'S DISEASE"
"ONTAK","GRN","ALZHEIMER'S DISEASE"
"Fodosine","GRN","ALZHEIMER'S DISEASE"
"HUMAX-CD20","GRN","ALZHEIMER'S DISEASE"
"PROCORALAN","GRN","ALZHEIMER'S DISEASE"
"ACTIMMUNE","GRN","ALZHEIMER'S DISEASE"
"VM-26","GRN","ALZHEIMER'S DISEASE"
"Pepto-Bismol","GRN","ALZHEIMER'S DISEASE"
"FERNISOLONE-P","GRN","ALZHEIMER'S DISEASE"
"PD 81565","GRN","ALZHEIMER'S DISEASE"
"ACD79B-VCMMAE","GRN","ALZHEIMER'S DISEASE"
"GAZYVARO","GRN","ALZHEIMER'S DISEASE"
"Pramidex","GRN","ALZHEIMER'S DISEASE"
"Interferon gamma","GRN","ALZHEIMER'S DISEASE"
"Cortisone Acetate","GRN","ALZHEIMER'S DISEASE"
"Teniposide","GRN","ALZHEIMER'S DISEASE"
"huM291","GRN","ALZHEIMER'S DISEASE"
"R-935788","GRN","ALZHEIMER'S DISEASE"
"CAC10-VCMMAE","GRN","ALZHEIMER'S DISEASE"
"Kytril","GRN","ALZHEIMER'S DISEASE"
"HAY-RITE","GRN","ALZHEIMER'S DISEASE"
"GA-101","GRN","ALZHEIMER'S DISEASE"
"Aurothioglucose","GRN","ALZHEIMER'S DISEASE"
"CL 118,532","GRN","ALZHEIMER'S DISEASE"
"NORLUTATE","GRN","ALZHEIMER'S DISEASE"
"AEB071","GRN","ALZHEIMER'S DISEASE"
"MDX-016","GRN","ALZHEIMER'S DISEASE"
"LY-278584","GRN","ALZHEIMER'S DISEASE"
"Clarityn","GRN","ALZHEIMER'S DISEASE"
"Interferon Gamma-2A","GRN","ALZHEIMER'S DISEASE"
"DCDS4501A","GRN","ALZHEIMER'S DISEASE"
"INS NOVORAPID","GRN","ALZHEIMER'S DISEASE"
"BEXXAR","GRN","ALZHEIMER'S DISEASE"
"MT-103","GRN","ALZHEIMER'S DISEASE"
"BRL-43694","GRN","ALZHEIMER'S DISEASE"
"KYPROLIS","GRN","ALZHEIMER'S DISEASE"
"HA22","GRN","ALZHEIMER'S DISEASE"
"Sancuso","GRN","ALZHEIMER'S DISEASE"
"Mercaptopurine anhydrous","GRN","ALZHEIMER'S DISEASE"
"IDEC-Y2B8","GRN","ALZHEIMER'S DISEASE"
"CL-118532","GRN","ALZHEIMER'S DISEASE"
"GRANISETRON","GRN","ALZHEIMER'S DISEASE"
"776C85","GRN","ALZHEIMER'S DISEASE"
"AYGESTIN","GRN","ALZHEIMER'S DISEASE"
"ISATUXIMAB","GRN","ALZHEIMER'S DISEASE"
"Sandostatin","GRN","ALZHEIMER'S DISEASE"
"TAK-659","GRN","ALZHEIMER'S DISEASE"
"SAR-650984","GRN","ALZHEIMER'S DISEASE"
"OFATUMUMAB","GRN","ALZHEIMER'S DISEASE"
"NOVOLOG FLEXPEN","GRN","ALZHEIMER'S DISEASE"
"Palonosetron","GRN","ALZHEIMER'S DISEASE"
"RISEDRONIC ACID","GRN","ALZHEIMER'S DISEASE"
"ALAVERT","GRN","ALZHEIMER'S DISEASE"
"BM 14.190","GRN","ALZHEIMER'S DISEASE"
"Octreotide","GRN","ALZHEIMER'S DISEASE"
"HL 275","GRN","ALZHEIMER'S DISEASE"
"Cortisyl","GRN","ALZHEIMER'S DISEASE"
"R788 FREE ACID","GRN","ALZHEIMER'S DISEASE"
"R-935788 Free acid","GRN","ALZHEIMER'S DISEASE"
"CORTATE","GRN","ALZHEIMER'S DISEASE"
"BRICICLIB","GRN","ALZHEIMER'S DISEASE"
"Zanolimumab","GRN","ALZHEIMER'S DISEASE"
"FCU2711","GRN","ALZHEIMER'S DISEASE"
"R-7159","GRN","ALZHEIMER'S DISEASE"
"NUVION","GRN","ALZHEIMER'S DISEASE"
"Claritin Hives Relief Reditab","GRN","ALZHEIMER'S DISEASE"
"RO-5541077-000","GRN","ALZHEIMER'S DISEASE"
"HA20","GRN","ALZHEIMER'S DISEASE"
"HUMAX-CD20, 2F2","GRN","ALZHEIMER'S DISEASE"
"R-788","GRN","ALZHEIMER'S DISEASE"
"MDX-060","GRN","ALZHEIMER'S DISEASE"
"HUMABCD20","GRN","ALZHEIMER'S DISEASE"
"SCH-29851","GRN","ALZHEIMER'S DISEASE"
"SUSTOL","GRN","ALZHEIMER'S DISEASE"
"BCX-1777","GRN","ALZHEIMER'S DISEASE"
"RG-7596","GRN","ALZHEIMER'S DISEASE"
"Loratadine","GRN","ALZHEIMER'S DISEASE"
"NOVOLOG","GRN","ALZHEIMER'S DISEASE"
"Barasertib","GRN","ALZHEIMER'S DISEASE"
"Eniluracil","GRN","ALZHEIMER'S DISEASE"
"Claritin-D","GRN","ALZHEIMER'S DISEASE"
"CLARITYN RAPIDE","GRN","ALZHEIMER'S DISEASE"
"IDEC-Y2B8 IDEC-129","GRN","ALZHEIMER'S DISEASE"
"2F2","GRN","ALZHEIMER'S DISEASE"
"Loratadine Redidose","GRN","ALZHEIMER'S DISEASE"
"IDEC-129","GRN","ALZHEIMER'S DISEASE"
"LIPEGFILGRASTIM","GRN","ALZHEIMER'S DISEASE"
"MEDI-507","GRN","ALZHEIMER'S DISEASE"
"RG-7159","GRN","ALZHEIMER'S DISEASE"
"ON-013105","GRN","ALZHEIMER'S DISEASE"
"Roletra","GRN","ALZHEIMER'S DISEASE"
"Ro-5072759","GRN","ALZHEIMER'S DISEASE"
"IMMUKIN","GRN","ALZHEIMER'S DISEASE"
"CLARITIN HIVES RELIEF","GRN","ALZHEIMER'S DISEASE"
"AZD-1152","GRN","ALZHEIMER'S DISEASE"
"NORETHIDRONE ACETATE","GRN","ALZHEIMER'S DISEASE"
"Risedronate","GRN","ALZHEIMER'S DISEASE"
"IMMU-106","GRN","ALZHEIMER'S DISEASE"
"Bismukote","GRN","ALZHEIMER'S DISEASE"
"IBRITUMOMAB TIUXETAN","GRN","ALZHEIMER'S DISEASE"
"REMITOGEN SMART1D10","GRN","ALZHEIMER'S DISEASE"
"RO5541077-000","GRN","ALZHEIMER'S DISEASE"
"NPI-0052","GRN","ALZHEIMER'S DISEASE"
"Zevalin Kit-Indium-111","GRN","ALZHEIMER'S DISEASE"
"Dexamethasone phosphate","GRN","ALZHEIMER'S DISEASE"
"IDEC-114","GRN","ALZHEIMER'S DISEASE"
"SGN-30","GRN","ALZHEIMER'S DISEASE"
"ON 014185","GRN","ALZHEIMER'S DISEASE"
"HCD-122","GRN","ALZHEIMER'S DISEASE"
"SGN-40","GRN","ALZHEIMER'S DISEASE"
"Elotuzumab","GRN","ALZHEIMER'S DISEASE"
"DACETUZUMAB","GRN","ALZHEIMER'S DISEASE"
"Erismodegib","GRN","ALZHEIMER'S DISEASE"
"Anti-KIR Antibody","GRN","ALZHEIMER'S DISEASE"
"HULUC63","GRN","ALZHEIMER'S DISEASE"
"PAMIDRONIC ACID","GRN","ALZHEIMER'S DISEASE"
"Indatuximab Ravtansine","GRN","ALZHEIMER'S DISEASE"
"SU-101","GRN","ALZHEIMER'S DISEASE"
"ACE-001","GRN","ALZHEIMER'S DISEASE"
"BHQ-880","GRN","ALZHEIMER'S DISEASE"
"Antegran","GRN","ALZHEIMER'S DISEASE"
"BMS-901608","GRN","ALZHEIMER'S DISEASE"
"Lirilumab","GRN","ALZHEIMER'S DISEASE"
"LDE225","GRN","ALZHEIMER'S DISEASE"
"IPH2102","GRN","ALZHEIMER'S DISEASE"
"Talmapimod","GRN","ALZHEIMER'S DISEASE"
"BT-062","GRN","ALZHEIMER'S DISEASE"
"Permitil","GRN","ALZHEIMER'S DISEASE"
"LEUPRORELIN","GRN","ALZHEIMER'S DISEASE"
"HUS2C6","GRN","ALZHEIMER'S DISEASE"
"HWA-486","GRN","ALZHEIMER'S DISEASE"
"SINGULAIR","GRN","ALZHEIMER'S DISEASE"
"ULOCUPLUMAB","GRN","ALZHEIMER'S DISEASE"
"ONX-0912","GRN","ALZHEIMER'S DISEASE"
"BI-505","GRN","ALZHEIMER'S DISEASE"
"BMS-936564","GRN","ALZHEIMER'S DISEASE"
"LY-2127399","GRN","ALZHEIMER'S DISEASE"
"Lucatumumab","GRN","ALZHEIMER'S DISEASE"
"AN100226M","GRN","ALZHEIMER'S DISEASE"
"SONIDEGIB","GRN","ALZHEIMER'S DISEASE"
"BB-10901","GRN","ALZHEIMER'S DISEASE"
"Burixafor","GRN","ALZHEIMER'S DISEASE"
"MDX-1338","GRN","ALZHEIMER'S DISEASE"
"GSK-2110183","GRN","ALZHEIMER'S DISEASE"
"Tabalumab","GRN","ALZHEIMER'S DISEASE"
"SU-5416","GRN","ALZHEIMER'S DISEASE"
"CX-4945","GRN","ALZHEIMER'S DISEASE"
"CGP-23339AE","GRN","ALZHEIMER'S DISEASE"
"Arava","GRN","ALZHEIMER'S DISEASE"
"PDL-063","GRN","ALZHEIMER'S DISEASE"
"SAMALIZUMAB","GRN","ALZHEIMER'S DISEASE"
"SOTATERCEPT","GRN","ALZHEIMER'S DISEASE"
"Pamidronate","GRN","ALZHEIMER'S DISEASE"
"Silmitasertib","GRN","ALZHEIMER'S DISEASE"
"SULOL","GRN","ALZHEIMER'S DISEASE"
"ALXN-6000","GRN","ALZHEIMER'S DISEASE"
"Prolixin","GRN","ALZHEIMER'S DISEASE"
"Oprozomib","GRN","ALZHEIMER'S DISEASE"
"MK-476","GRN","ALZHEIMER'S DISEASE"
"ACE-011","GRN","ALZHEIMER'S DISEASE"
"BMS-986015-01","GRN","ALZHEIMER'S DISEASE"
"TG-0054","GRN","ALZHEIMER'S DISEASE"
"BMS-986015","GRN","ALZHEIMER'S DISEASE"
"BC8","GRN","ALZHEIMER'S DISEASE"
"HUN901-DM1","GRN","ALZHEIMER'S DISEASE"
"CHIR-12.12","GRN","ALZHEIMER'S DISEASE"
"BC8 131I","GRN","ALZHEIMER'S DISEASE"
"Leuprolide","GRN","ALZHEIMER'S DISEASE"
"REGN910","GRN","ALZHEIMER'S DISEASE"
